player,player_norm,team,team_norm,role,FVM,ballotaggio,p_start,Pv_hat,AFCON_RISK,START_TIER,Mv_hat,G_perPv_hat,A_perPv_hat,YC_perPv_hat,RC_perPv_hat,OG_perPv_hat,GC_perPv_hat,PKsave_perPv_hat,G_hat,A_hat,YC_hat,RC_hat,OG_hat,GC_hat,PKsave_hat,PK_taken_hat,PK_goals_hat,SP_assists_hat,Mod_share_hat
Romagnoli,romagnoli,Lazio,lazio,D,22,True,0.65,24.7,0,battle,5.84,0.062,0.0,0.125,0.062,0.0,,,1.544,0.0,3.088,1.544,0.0,,,0.0,0.0,0.0,0.0
Marusic,marusic,Lazio,lazio,D,23,False,0.85,32.3,0,starter,5.85,0.129,0.0,0.032,0.0,0.032,,,4.168,0.0,1.042,0.0,1.042,,,0.0,0.0,0.0,3.23
Baschirotto,baschirotto,Cremonese,cremonese,D,18,False,0.85,32.3,0,starter,5.142,0.037,0.046,0.151,0.011,0.007,,,1.205,1.491,4.879,0.344,0.225,,,0.0,0.0,0.0,3.23
Gaspar K.,gaspar k,Lecce,lecce,D,19,False,0.85,32.3,0,starter,6.17,0.0,0.042,0.125,0.0,0.0,,,0.0,1.346,4.037,0.0,0.0,,,0.0,0.0,0.0,3.23
Tomori,tomori,Milan,milan,D,25,False,0.85,32.3,0,starter,5.86,0.004,0.053,0.117,0.052,0.002,,,0.145,1.706,3.774,1.688,0.054,,,0.0,0.0,0.0,3.23
Delprato,delprato,Parma,parma,D,21,False,0.85,32.3,0,starter,6.03,0.118,0.0,0.235,0.0,0.0,,,3.8,0.0,7.6,0.0,0.0,,,0.0,0.0,0.0,3.23
Coco,coco,Torino,torino,D,12,True,0.65,24.7,0,battle,5.86,0.062,0.0,0.312,0.0,0.031,,,1.544,0.0,7.719,0.0,0.772,,,0.0,0.0,0.0,3.23
Ismajli,ismajli,Torino,torino,D,14,True,0.65,24.7,0,battle,4.754,0.028,0.042,0.164,0.009,0.009,,,0.693,1.039,4.04,0.231,0.231,,,0.0,0.0,0.0,3.23
Biraghi,biraghi,Torino,torino,D,23,False,0.85,32.3,0,starter,5.83,0.048,0.0,0.048,0.0,0.048,,,1.538,1.178,1.538,0.0,1.538,,,0.0,0.0,1.178,3.23
Gutierrez,gutierrez,Napoli,napoli,D,18,True,0.65,24.7,0,battle,4.831,0.034,0.034,0.114,0.0,0.006,,,0.842,0.842,2.807,0.0,0.14,,,0.0,0.0,0.0,0.0
