player,team,role,Pts_hat,VORP,Price_final,FVM,Pv_hat,Mv_hat,G_hat,A_hat,YC_hat,RC_hat,OG_hat,AFCON_RISK,START_TIER,Mod_share_hat
Cristante,Roma,C,87.685,0.0,8.962,23,13.3,6.2,1.9,1.425,3.8,0.0,0.0,0,backup,0.0
Brescianini,Atalanta,C,89.336,0.0,8.962,23,13.3,6.13,2.313,1.157,0.578,0.0,0.0,0,backup,0.0
Collocolo,Cremonese,C,136.486,0.0,8.962,23,24.7,5.286,2.132,1.66,3.524,0.166,0.021,0,battle,0.0
Ekkelenkamp,Udinese,C,156.144,0.0,8.553,22,24.7,5.97,2.645,1.497,1.497,0.0,0.0,0,battle,0.0
Pobega,Bologna,C,81.795,0.0,8.553,22,13.3,6.05,1.33,1.33,2.66,1.33,0.0,0,backup,0.0
Zalewski,Atalanta,C,126.629,0.0,8.553,22,24.7,4.738,3.267,1.307,2.483,0.131,0.0,0,battle,0.0
Caqueret,Como,C,167.019,0.0,8.146,21,24.7,6.34,3.062,4.195,5.675,0.061,0.0,0,battle,0.0
Pellegrini Lo.,Roma,C,80.11,0.0,7.739,20,13.3,5.68,1.064,2.438,2.128,0.0,0.0,0,backup,0.0
Pierotti,Lecce,C,160.112,0.0,7.739,20,32.3,4.882,1.087,1.242,4.193,0.0,0.0,0,starter,0.0
Prati,Cagliari,C,190.962,4.914,7.717,11,32.3,5.85,0.897,1.223,3.165,0.163,0.0,0,starter,0.0
Tete Morente,Lecce,C,152.845,0.0,7.333,19,24.7,5.87,2.47,2.505,4.117,0.0,0.0,0,battle,0.0
Perrone,Como,C,146.718,0.0,7.333,19,24.7,5.94,0.0,2.964,5.928,0.0,0.0,0,battle,0.0
El Shaarawy,Roma,C,89.294,0.0,7.333,19,13.3,6.19,1.9,1.9,1.267,0.0,0.0,0,backup,0.0
McKennie,Juventus,C,82.22,0.0,6.928,18,13.3,5.94,0.858,1.287,1.287,0.0,0.0,0,backup,0.0
Messias,Genoa,C,82.571,0.0,6.928,18,13.3,6.0,0.845,0.785,0.981,0.0,0.03,0,backup,0.0
Hernani,Parma,C,86.945,0.0,6.928,18,13.3,6.08,1.596,3.155,3.724,0.0,0.0,0,backup,0.0
Rafia,Lecce,C,75.643,0.0,6.928,7,13.3,5.78,0.045,0.051,2.833,0.0,0.0,0,backup,0.0
Fabbian,Bologna,C,85.833,0.0,6.525,17,13.3,6.09,1.814,0.0,1.209,0.0,0.0,0,backup,0.0
Loftus-Cheek,Milan,C,143.872,0.0,6.122,16,24.7,5.86,0.299,0.264,3.969,0.023,0.0,0,battle,0.0
Baldanzi,Roma,C,81.7,0.0,6.122,16,13.3,6.0,0.633,0.633,1.267,0.0,0.0,0,backup,0.0
Tourè I.,Pisa,C,156.379,0.0,6.122,16,28.3,5.286,2.442,1.902,4.038,0.19,0.024,1,starter,0.0
Ondrejka,Parma,C,96.109,0.0,5.721,15,13.3,6.35,3.957,0.299,0.898,0.033,0.0,0,backup,0.0
Pisilli,Roma,C,81.474,0.0,5.721,15,13.3,5.98,1.108,0.554,3.879,0.0,0.0,0,backup,0.0
Suslov,Verona,C,77.301,0.0,5.321,14,13.3,5.84,0.377,0.429,2.145,0.429,0.0,0,backup,0.0
Luis Henrique,Inter,C,86.281,0.0,5.321,14,13.3,6.085,1.452,1.758,1.529,0.0,0.0,0,backup,0.0
Coulibaly L.,Lecce,C,169.815,0.0,5.321,14,28.3,5.96,0.765,0.0,2.295,0.0,0.0,1,starter,0.0
Harroui,Verona,C,153.973,0.0,5.321,14,24.7,5.95,2.027,3.21,3.38,0.296,0.0,0,battle,0.0
Vecino,Lazio,C,158.904,0.0,5.321,14,24.7,6.14,2.67,3.932,9.232,0.04,0.0,0,battle,0.0
Boloca,Sassuolo,C,178.482,0.0,5.321,13,32.3,5.286,2.787,2.171,4.609,0.217,0.027,0,starter,0.0
Fadera,Sassuolo,C,73.493,0.0,5.321,13,13.3,5.286,1.148,0.894,1.898,0.09,0.011,0,backup,0.0
Piotrowski,Udinese,C,147.438,0.0,5.321,12,24.7,5.886,0.925,1.057,3.566,0.0,0.0,0,battle,0.0
Sorensen O.,Parma,C,140.672,0.0,5.321,14,24.7,5.443,2.346,1.112,3.335,0.124,0.0,0,battle,0.0
Sulemana I.,Atalanta,C,139.046,0.0,5.321,10,20.7,6.17,3.987,0.767,2.492,0.077,0.0,1,battle,0.0
Felici,Cagliari,C,79.433,0.0,4.923,13,13.3,5.83,0.074,2.096,0.793,0.013,0.0,0,backup,0.0
Marin M.,Pisa,C,136.486,0.0,4.923,8,24.7,5.286,2.132,1.66,3.524,0.166,0.021,0,battle,0.0
Konè I.,Sassuolo,C,178.482,0.0,4.923,14,32.3,5.286,2.787,2.171,4.609,0.217,0.027,0,starter,0.0
Cataldi,Lazio,C,64.688,0.0,4.923,7,13.3,4.68,1.078,1.222,3.163,0.216,0.0,0,backup,0.0
